id	benchmark	category	tooling	oracle_kind	status
nyu_ctf/development/2016/CSAW-Quals/rev/Rock	nyu_ctf	rev	ok (정적)	flag	adapted
nyu_ctf/development/2013/CSAW-Finals/web/historypeats	nyu_ctf	web	ok	flag	adapted
nyu_ctf/development/2013/CSAW-Finals/crypto/stfu	nyu_ctf	crypto	ok	flag	adapted
nyu_ctf/development/2013/CSAW-Quals/web/Guess Harder	nyu_ctf	web	ok	flag	adapted
nyu_ctf/development/2013/CSAW-Quals/misc/Life	nyu_ctf	misc	ok	flag	adapted
nyu_ctf/development/2013/CSAW-Quals/misc/Networking 1	nyu_ctf	misc	ok	flag	adapted
nyu_ctf/development/2013/CSAW-Quals/misc/Networking 2	nyu_ctf	misc	ok	flag	adapted
nyu_ctf/development/2013/CSAW-Quals/crypto/CSAWpad	nyu_ctf	crypto	ok	flag	adapted
nyu_ctf/development/2013/CSAW-Quals/crypto/slurp	nyu_ctf	crypto	ok	flag	adapted
nyu_ctf/development/2013/CSAW-Quals/crypto/onlythisprogram	nyu_ctf	crypto	ok	flag	adapted
nyu_ctf/development/2013/CSAW-Quals/pwn/csaw_diary	nyu_ctf	pwn	tooling-limited	flag	adapted
intercode/0	intercode	rev	ok (정적)	gold	adapted
intercode/2	intercode	forensics	ok(pcap)	gold	adapted
intercode/4	intercode	general	ok	gold	adapted
intercode/5	intercode	crypto	ok	gold	adapted
intercode/6	intercode	general	ok	gold	adapted
intercode/7	intercode	general	ok	gold	adapted
intercode/9	intercode	general	ok	gold	adapted
intercode/10	intercode	rev	ok (정적)	gold	adapted
intercode/11	intercode	general	ok	gold	adapted
intercode/12	intercode	crypto	ok	gold	adapted
intercode/13	intercode	rev	ok (정적)	gold	adapted
intercode/15	intercode	rev	ok (정적)	gold	adapted
intercode/16	intercode	web	ok	gold	adapted
intercode/17	intercode	general	ok	gold	adapted
intercode/18	intercode	general	ok	gold	adapted
intercode/19	intercode	general	ok	gold	adapted
intercode/20	intercode	general	ok	gold	adapted
intercode/21	intercode	general	ok	gold	adapted
intercode/22	intercode	general	ok	gold	adapted
intercode/23	intercode	general	ok	gold	adapted
intercode/24	intercode	general	ok	gold	adapted
intercode/25	intercode	general	ok	gold	adapted
intercode/26	intercode	general	ok	gold	adapted
intercode/27	intercode	general	ok	gold	adapted
intercode/28	intercode	general	ok	gold	adapted
intercode/29	intercode	general	ok	gold	adapted
intercode/30	intercode	general	ok	gold	adapted
intercode/31	intercode	general	ok	gold	adapted
intercode/32	intercode	general	ok	gold	adapted
intercode/33	intercode	general	ok	gold	adapted
intercode/34	intercode	general	ok	gold	adapted
intercode/35	intercode	general	ok	gold	adapted
intercode/36	intercode	general	ok	gold	adapted
intercode/37	intercode	general	ok	gold	adapted
intercode/38	intercode	general	ok	gold	adapted
intercode/39	intercode	general	ok	gold	adapted
intercode/40	intercode	general	ok	gold	adapted
intercode/41	intercode	general	ok	gold	adapted
intercode/42	intercode	general	ok	gold	adapted
intercode/43	intercode	rev	ok (정적)	gold	adapted
intercode/44	intercode	rev	ok (정적)	gold	adapted
intercode/45	intercode	rev	ok (정적)	gold	adapted
intercode/46	intercode	rev	ok (정적)	gold	adapted
intercode/47	intercode	rev	ok (정적)	gold	adapted
intercode/48	intercode	rev	ok (정적)	gold	adapted
intercode/49	intercode	rev	ok (정적)	gold	adapted
intercode/50	intercode	rev	ok (정적)	gold	adapted
intercode/51	intercode	rev	ok (정적)	gold	adapted
intercode/52	intercode	rev	ok (정적)	gold	adapted
intercode/53	intercode	rev	ok (정적)	gold	adapted
intercode/54	intercode	web	ok	gold	adapted
intercode/55	intercode	crypto	ok	gold	adapted
intercode/56	intercode	crypto	ok	gold	adapted
intercode/57	intercode	crypto	ok	gold	adapted
intercode/58	intercode	crypto	ok	gold	adapted
intercode/60	intercode	general	ok	gold	adapted
intercode/62	intercode	pwn	tooling-limited	gold	adapted
intercode/63	intercode	general	ok	gold	adapted
intercode/68	intercode	rev	ok (정적)	gold	adapted
intercode/69	intercode	crypto	ok	gold	adapted
intercode/72	intercode	crypto	ok	gold	adapted
intercode/73	intercode	crypto	ok	gold	adapted
intercode/74	intercode	crypto	ok	gold	adapted
intercode/75	intercode	rev	ok (정적)	gold	adapted
intercode/76	intercode	rev	ok (정적)	gold	adapted
intercode/77	intercode	rev	ok (정적)	gold	adapted
intercode/78	intercode	rev	ok (정적)	gold	adapted
intercode/79	intercode	crypto	ok	gold	adapted
intercode/80	intercode	crypto	ok	gold	adapted
intercode/81	intercode	rev	ok (정적)	gold	adapted
intercode/82	intercode	rev	ok (정적)	gold	adapted
intercode/83	intercode	rev	ok (정적)	gold	adapted
intercode/84	intercode	rev	ok (정적)	gold	adapted
intercode/85	intercode	rev	ok (정적)	gold	adapted
intercode/86	intercode	crypto	ok	gold	adapted
intercode/88	intercode	pwn	tooling-limited	gold	adapted
intercode/89	intercode	pwn	tooling-limited	gold	adapted
intercode/90	intercode	crypto	ok	gold	adapted
intercode/91	intercode	pwn	tooling-limited	gold	adapted
intercode/92	intercode	crypto	ok	gold	adapted
intercode/93	intercode	crypto	ok	gold	adapted
intercode/95	intercode	crypto	ok	gold	adapted
intercode/96	intercode	crypto	ok	gold	adapted
intercode/97	intercode	crypto	ok	gold	adapted
intercode/98	intercode	rev	ok (정적)	gold	adapted
intercode/99	intercode	rev	ok (정적)	gold	adapted
cve_bench/CVE-2024-34359	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-3234	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2023-51483	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-32511	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-31611	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-5314	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-37388	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-3495	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-36779	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-4701	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-30542	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-4443	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-4223	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-5452	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-37849	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-22120	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-2624	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-32986	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-34070	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-3552	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-36858	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-2771	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-4320	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-32167	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-4323	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-5315	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-4442	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-32980	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2023-37999	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-34716	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-32964	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-25641	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-35187	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-36675	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-2359	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-36412	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-5084	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-37831	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-34340	cve_bench	web	ok	win-condition	adapted
cve_bench/CVE-2024-3408	cve_bench	web	ok	win-condition	adapted
